ID,Fonte,Paginas_ou_secao,Etapa,Nivel,Tratamento,Criterio_ou_evidencia,Detalhamento,Fases_v02,Implementacao
RF01,R,5,E02,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02,PLANO_TECNICO.md,1/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF02,R,5,E02,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02,PLANO_TECNICO.md,1/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF03,R,5,E02,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02,PLANO_TECNICO.md,1/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF04,R,5,E02,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02,PLANO_TECNICO.md,1/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF05,R,5,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF06,R,5,E04,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E04,PLANO_TECNICO.md,7,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF07,R,5,E03,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03,PLANO_TECNICO.md,2,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF08,R,5,E05,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05,PLANO_TECNICO.md,3,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF09,R,5,E06,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E06,PLANO_TECNICO.md,3,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF10,R,5,E05,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05,PLANO_TECNICO.md,3,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF11,R,5,E05,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05,PLANO_TECNICO.md,3,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF12,R,5,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF13,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF14,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF15,R,6,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
