ID,Fonte,Paginas_ou_secao,Etapa,Nivel,Tratamento,Criterio_ou_evidencia,Detalhamento
RF01,R,5,E02,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02,PLANO_TECNICO.md
RF02,R,5,E02,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02,PLANO_TECNICO.md
RF03,R,5,E02,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02,PLANO_TECNICO.md
RF04,R,5,E02,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02,PLANO_TECNICO.md
RF05,R,5,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md
RF06,R,5,E04,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E04,PLANO_TECNICO.md
RF07,R,5,E03,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03,PLANO_TECNICO.md
RF08,R,5,E05,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05,PLANO_TECNICO.md
RF09,R,5,E06,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E06,PLANO_TECNICO.md
RF10,R,5,E05,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05,PLANO_TECNICO.md
RF11,R,5,E05,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05,PLANO_TECNICO.md
RF12,R,5,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md
RF13,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md
RF14,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md
RF15,R,6,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md
RF16,R,6,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md
RF17,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md
RF18,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md
RF19,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md
RF20,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md
RF21,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md
RF22,R,6,E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E09,PLANO_TECNICO.md
RF23,R,6,E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E09,PLANO_TECNICO.md
RF24,R,6,E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E09,PLANO_TECNICO.md
RF25,R,6,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md
RF26,R,6,E10/E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10/E12,PLANO_TECNICO.md
RF27,R,6,E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E12,PLANO_TECNICO.md
RF28,R,6,E07/E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07/E10,PLANO_TECNICO.md
RF29,R,6,E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E12,PLANO_TECNICO.md
RF30,R,6,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md
RF31,R,6,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md
RF32,R,6,E03/E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E10,PLANO_TECNICO.md
RF33,R,6,E07/E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07/E10,PLANO_TECNICO.md
RF34,R,6,E04/E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E04/E10,PLANO_TECNICO.md
RF35,R,6,E01/E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E01/E10,PLANO_TECNICO.md
RF36,R,6,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md
RF37,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md
RF38,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md
RF39,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md
RF40,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md
RF41,R,7,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md
RF42,R,7,E03,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03,PLANO_TECNICO.md
RF43,R,7,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md
RF44,R,7,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md
RF45,R,7,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md
RF46,R,7,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md
